State,Year,Month,Precipitation/rainfall per month
Kerala,2019,1,4.6
Kerala,2019,2,10.3
Kerala,2019,3,17.9
Kerala,2019,4,95.7
Kerala,2019,5,251
Kerala,2019,6,454.4
Kerala,2019,7,677.8
Kerala,2019,8,733.9
Kerala,2019,9,298.8
Kerala,2019,10,355.5
Kerala,2019,11,99.5
Kerala,2019,12,47.2
Kerala,2020,1,3.9
Kerala,2020,2,40.1
Kerala,2020,3,49.9
Kerala,2020,4,49.3
Kerala,2020,5,119. 3
Kerala,2020,6,1042.7
Kerala,2020,7,830. 2
Kerala,2020,8,369. 7
Kerala,2020,9,318. 6
Kerala,2020,10,259. 9
Kerala,2020,11,154. 9
Kerala,2020,12,17
Kerala,2021,1,0
Kerala,2021,2,4.7
Kerala,2021,3,0
Kerala,2021,4,0.1
Kerala,2021,5,22.1
Kerala,2021,6,1073
Kerala,2021,7,1555.1
Kerala,2021,8,517. 2
Kerala,2021,9,353. 1
Kerala,2021,10,155. 8
Kerala,2021,11,2.5
Kerala,2021,12,1.3
Kerala,2022,1,0.1
Kerala,2022,2,1
Kerala,2022,3,0.3
Kerala,2022,4,0.5
Kerala,2022,5,26.9
Kerala,2022,6,258.9
Kerala,2022,7,1354.7
Kerala,2022,8,702.6
Kerala,2022,9,436.7
Kerala,2022,10,111.4
Kerala,2022,11,8.2
Kerala,2022,12,12
Kerala,2023,1,4.6
Kerala,2023,2,10.3
Kerala,2023,3,17.9
Kerala,2023,4,95.7
Kerala,2023,5,251
Kerala,2023,6,454.4
Kerala,2023,7,677.8
Kerala,2023,8,733.9
Kerala,2023,9,298.8
Kerala,2023,10,355.5
Kerala,2023,11,99.5
Kerala,2023,12,47.2
